Land	1	young	Roar Young	羔羔	羔羔	roar-young-roar-young-png
Land	1	adult_perfect	Meowtchi	猫猫吉	貓貓吉	meowtchi-meowtchi-png
Land	1	adult_0_1	Pochitchi	波吉	波吉	pochitchi-pochitchi-paradise-png
Land	1	adult_2_5	Gumax	叉叉熊	叉叉熊	gumax-gumax-paradise-png
Land	1	adult_6	Ratchi	乐乐吉	樂樂吉	ratchi-ratchi-paradise-png
Land	2	young	Toddle Young	特库特库	特庫特庫	toddle-young-toddle-young-png
Land	2	adult_perfect	Mametchi	豆丁吉	豆丁吉	mametchi-mametchi-paradise-png
Land	2	adult_0_1	Mimitchi	大耳吉	大耳吉	mimitchi-mimitchi-paradise-png
Land	2	adult_2_5	Molmotchi	摩尔吉	摩爾吉	molmotchi-molmotchi-paradise-png
Land	2	adult_6	Sheeptchi	咩咩吉	咩咩吉	sheeptchi-sheeptchi-paradise-png
Land	3	young	Lick Young	佩洛佩洛	佩洛佩洛	lick-young-lick-young-png
Land	3	adult_perfect	Leopatchi	守宫吉	守宮吉	leopatchi-leopatchi-paradise-png
Land	3	adult_0_1	Sebiretchi	龙崽吉	龍崽吉	sebiretchi-sebiretchi-paradise-png
Land	3	adult_2_5	Elizardotchi	蜥蜥吉	蜥蜥吉	elizardotchi-elizardotchi-paradise-png
Land	3	adult_6	Heavytchi	蛇蛇吉	蛇蛇吉	heavytchi-heavytchi-paradise-png
Land	4	young	Sprout Young	扭奇扭奇	扭奇扭奇	sprout-young-sprout-young-png
Land	4	adult_perfect	Furawatchi	芙朵吉	芙朵吉	furawatchi-furawatchi-paradise-artwork-png
Land	4	adult_0_1	Potsunentchi	一朵吉	一朵吉	potsunentchi-potsunentchi-paradise-png
Land	4	adult_2_5	Tustustchi	刺刺吉	刺刺吉	tustustchi-tustustchi-paradise-png
Land	4	adult_6	Shigemi-san	灌木吉	灌木吉	shigemi-san-shigemisan-paradise-png
Land	hidden	hidden	Chodracotchi	小龙吉	小龍吉	chodracotchi-chodracotchi-paradise-png
Forest	1	young	Roar Young	羔羔	羔羔	roar-young-forestroaryoungparadiseartwork-png
Forest	1	adult_perfect	Forest Horhotchi	伙伙吉	夥夥吉	forest-horhotchi-foresthorhotchifaceforward-artwork-png
Forest	1	adult_0_1	Konkotchi	狐狐吉	狐狐吉	konkotchi-konkotchifaceforward-artwork-png
Forest	1	adult_2_5	Tigaotchi	老虎吉	老虎吉	tigaotchi-tigaotchifaceforward-artwork-png
