community_zh	Amefuratchi	海兔麻呂	amefuratchi-amefuratchi-paradise-png
community_zh	Ananatchi	鳳梨麻呂	ananatchi-ananatchiparadiseartwork-png
community_zh	Ankotchi	紅豆麻呂	ankotchi-ankotchi-paradise-png
community_zh	Avovotchi	酪梨麻呂	avovotchi-avovotchiparadiseartwork-png
community_zh	Axolopatchi	六角恐龍麻呂	axolopatchi-axolopatchi-paradise-png
community_zh	Azaratchi	海豹麻呂	azaratchi-azaratchiparadiseartwork-png
community_zh	Babymarutchi	嬰兒圓麻呂	babymarutchi-babymarutchi-png
community_zh	Batatchi	蝙蝠麻呂	batatchi-batatchi-paradise-png
community_zh	Bbmarutchi	BB圓麻呂	bbmarutchi-bbmarutchi-paradise-artwork-png
community_zh	Beavertchi	海狸麻呂	beavertchi-beavertchi-paradise-png
community_zh	Chameleotchi	變色龍麻呂	chameleotchi-chameleotchi-png
community_zh	Chodracotchi	蝴蝶龍麻呂	chodracotchi-chodracotchi-paradise-png
community_zh	Crocotchi	鱷魚麻呂	crocotchi-crocotchiparadiseartwork-png
community_zh	Ginjirotchi	銀次郎星人	ginjirotchi-ginjirotchiparadiseartwork-png
community_zh	Icy Irukatchi	冰原海豚星人	icy-irukatchi-shiroirukatchiparadiseartwork-png
community_zh	Iguanatchi	鬣蜥星人	iguanatchi-iguanatchiparadiseartwork-png
community_zh	Imoritchi	蠑螈星人	imoritchi-imoritchi-paradise-png
community_zh	Irukatchi	海豚星人	irukatchi-irukatchi-paradise-png
community_zh	Ishikorotchi	小石星人	ishikorotchi-ishikorotchi-paradise-png
community_zh	Kabutotchi	獨角仙星人	kabutotchi-kabutotchi-paradise-png
community_zh	Kachitchi	喀嚓星人	kachitchi-kachitchifaceforward-artwork-png
community_zh	Kametchi	烏龜星人	kametchi-kametchi-paradise-png
community_zh	Kanokotchi	鹿子星人	kanokotchi-kanokotchifaceforward-artwork-png
community_zh	Kawazutchi	蛙星人	kawazutchi-kawazutchi-paradise-png
